T1,T2,H1,H2,D1,D2,D3,D4
Prims PLD,Arg DRK,Blyze AST,Celaena SGE,Livia DRG,Sonja SAM,Kat BRD,Leone RDM
Prims PLD,Arg DRK,Celaena WHM,Livia AST,Blyze MNK,Lloyd DRG,Kat DNC,Sonja RDM
Prims PLD,Arg DRK,Livia AST,Celaena SGE,Blyze MNK,Lloyd DRG,Kat DNC,Sonja RDM
Prims DRK,Leone GNB,Celaena WHM,Livia AST,Blyze MNK,Lloyd DRG,Kat DNC,Sonja RDM
Arg DRK,Leone GNB,Celaena WHM,Livia AST,Blyze MNK,Lloyd DRG,Kat DNC,Sonja RDM
Prims PLD,Leone GNB,Livia AST,Celaena SGE,Blyze MNK,Lloyd DRG,Kat DNC,Sonja RDM
Prims DRK,Leone GNB,Livia AST,Celaena SGE,Blyze MNK,Lloyd DRG,Kat DNC,Sonja RDM
Prims PLD,Leone GNB,Celaena WHM,Livia AST,Blyze MNK,Lloyd DRG,Kat DNC,Sonja RDM
Arg DRK,Leone GNB,Livia AST,Celaena SGE,Blyze MNK,Lloyd DRG,Kat DNC,Sonja RDM
Blyze PLD,Sonja DRK,Livia AST,Celaena SGE,Lloyd DRG,Leone NIN,Kat BRD,Arg SMN
Blyze PLD,Sonja DRK,Livia AST,Celaena SGE,Lloyd DRG,Kat BRD,Arg SMN,Leone RDM
Blyze PLD,Sonja DRK,Livia AST,Celaena SGE,Lloyd DRG,Prims SAM,Kat DNC,Arg SMN
Blyze PLD,Sonja DRK,Livia AST,Celaena SGE,Lloyd DRG,Prims SAM,Kat BRD,Arg SMN
Blyze PLD,Sonja DRK,Livia AST,Celaena SGE,Lloyd DRG,Prims SAM,Kat BRD,Leone RDM
Blyze PLD,Sonja DRK,Livia AST,Celaena SGE,Leone DRG,Prims SAM,Kat BRD,Arg SMN
Blyze PLD,Sonja DRK,Livia AST,Celaena SGE,Leone DRG,Prims SAM,Kat DNC,Arg SMN
Blyze PLD,Sonja DRK,Livia AST,Celaena SGE,Leone MNK,Prims SAM,Kat BRD,Arg SMN
Blyze PLD,Sonja DRK,Livia AST,Celaena SGE,Leone MNK,Lloyd DRG,Kat BRD,Arg SMN
Blyze PLD,Sonja DRK,Livia AST,Celaena SGE,Arg DRG,Prims SAM,Kat DNC,Leone RDM
Blyze PLD,Sonja DRK,Livia AST,Celaena SGE,Lloyd DRG,Prims SAM,Kat DNC,Leone RDM
Blyze PLD,Sonja DRK,Livia AST,Celaena SGE,Prims SAM,Kat BRD,Arg SMN,Leone RDM
Blyze PLD,Sonja DRK,Livia AST,Celaena SGE,Leone MNK,Lloyd DRG,Kat DNC,Arg SMN
Blyze PLD,Sonja DRK,Livia AST,Celaena SGE,Lloyd DRG,Leone NIN,Kat DNC,Arg SMN
Blyze PLD,Sonja DRK,Livia AST,Celaena SGE,Lloyd DRG,Kat DNC,Arg SMN,Leone RDM
Blyze PLD,Sonja DRK,Livia AST,Celaena SGE,Leone MNK,Prims SAM,Kat DNC,Arg SMN
Blyze PLD,Sonja DRK,Livia AST,Celaena SGE,Leone NIN,Prims SAM,Kat DNC,Arg SMN
Blyze PLD,Sonja DRK,Livia AST,Celaena SGE,Leone NIN,Prims SAM,Kat BRD,Arg SMN
Blyze PLD,Sonja DRK,Livia AST,Celaena SGE,Prims SAM,Kat DNC,Arg SMN,Leone RDM
Blyze PLD,Sonja DRK,Livia AST,Celaena SGE,Arg DRG,Prims SAM,Kat BRD,Leone RDM
Prims PLD,Livia DRK,Celaena WHM,Kat AST,Arg DRG,Blyze NIN,Sonja BRD,Leone RDM
Livia PLD,Prims DRK,Celaena WHM,Kat AST,Arg DRG,Blyze NIN,Sonja BRD,Leone RDM
Livia PLD,Prims DRK,Kat WHM,Celaena SGE,Arg DRG,Blyze NIN,Sonja BRD,Leone RDM
Prims PLD,Livia DRK,Kat AST,Celaena SGE,Arg DRG,Blyze NIN,Sonja BRD,Leone RDM
Celaena PLD,Prims DRK,Kat WHM,Livia AST,Arg DRG,Blyze NIN,Sonja BRD,Leone RDM
