T1,T2,H1,H2,M1,M2,R1,R2
Celaena PLD,Prims DRK,Blyze WHM,Livia AST,Leone MNK,Arg DRG,Sonja BRD,Kat RDM
Livia DRK,Leone GNB,Celaena WHM,Blyze SCH,Sonja NIN,Prims SAM,Kat DNC,Arg SMN
Blyze PLD,Leone GNB,Celaena WHM,Livia AST,Lloyd DRG,Prims SAM,Sonja BLM,Arg SMN
Celaena PLD,Sonja DRK,Blyze WHM,Livia AST,Lloyd DRG,Prims SAM,Kat BRD,Arg SMN
Celaena PLD,Livia DRK,Blyze SCH,Kat AST,Lloyd DRG,Sonja SAM,Arg SMN,Leone RDM
Prims DRK,Sonja GNB,Blyze SCH,Celaena AST,Arg DRG,Leone NIN,Livia DNC,Kat RDM
Prims PLD,Arg DRK,Blyze WHM,Celaena AST,Leone MNK,Lloyd DRG,Livia DNC,Sonja BLM
Celaena PLD,Sonja WAR,Kat WHM,Blyze SCH,Livia DRG,Prims SAM,Arg SMN,Leone RDM
Celaena PLD,Prims DRK,Blyze SCH,Kat AST,Leone MNK,Arg DRG,Livia DNC,Sonja SMN
Prims PLD,Sonja WAR,Celaena WHM,Blyze AST,Leone MNK,Lloyd DRG,Kat BRD,Arg SMN
Celaena PLD,Sonja DRK,Blyze WHM,Kat AST,Livia NIN,Prims SAM,Arg SMN,Leone RDM
Livia PLD,Arg DRK,Celaena WHM,Blyze SCH,Leone DRG,Prims SAM,Kat DNC,Sonja SMN
Livia PLD,Sonja WAR,Blyze SCH,Celaena AST,Leone DRG,Prims SAM,Arg SMN,Kat RDM
Prims PLD,Arg DRK,Celaena WHM,Livia AST,Leone DRG,Blyze SAM,Sonja BLM,Kat RDM
Prims PLD,Arg DRK,Kat WHM,Celaena AST,Blyze MNK,Leone NIN,Livia DNC,Sonja SMN
Livia PLD,Sonja DRK,Celaena WHM,Blyze SCH,Lloyd DRG,Leone NIN,Kat BRD,Arg SMN
Prims PLD,Livia DRK,Blyze WHM,Kat AST,Lloyd DRG,Leone NIN,Sonja MCH,Arg SMN
Sonja WAR,Livia DRK,Blyze WHM,Celaena AST,Leone DRG,Prims SAM,Arg SMN,Kat RDM
Livia DRK,Leone GNB,Blyze WHM,Celaena AST,Lloyd DRG,Prims SAM,Arg SMN,Sonja RDM
Livia PLD,Prims DRK,Celaena WHM,Blyze AST,Sonja DRG,Leone NIN,Kat DNC,Arg SMN
Blyze PLD,Prims DRK,Celaena WHM,Livia AST,Leone MNK,Lloyd DRG,Sonja BLM,Kat RDM
Sonja WAR,Livia DRK,Celaena WHM,Blyze SCH,Leone MNK,Lloyd DRG,Arg SMN,Kat RDM
Sonja PLD,Arg DRK,Kat WHM,Celaena AST,Blyze MNK,Lloyd DRG,Livia DNC,Leone RDM
Celaena PLD,Prims DRK,Blyze SCH,Livia AST,Leone MNK,Lloyd DRG,Sonja DNC,Arg SMN
Prims PLD,Livia DRK,Celaena WHM,Blyze AST,Leone MNK,Lloyd DRG,Sonja BRD,Kat RDM
Celaena PLD,Prims DRK,Blyze WHM,Livia AST,Lloyd DRG,Leone NIN,Kat BRD,Arg SMN
Arg DRK,Leone GNB,Blyze SCH,Celaena AST,Lloyd DRG,Prims SAM,Livia DNC,Sonja SMN
Livia DRK,Leone GNB,Celaena WHM,Blyze AST,Arg DRG,Prims SAM,Sonja MCH,Kat DNC
Livia PLD,Arg DRK,Blyze WHM,Celaena AST,Leone MNK,Lloyd DRG,Kat DNC,Sonja SMN
Sonja WAR,Livia DRK,Celaena WHM,Blyze AST,Leone NIN,Prims SAM,Kat BRD,Arg SMN
Prims DRK,Leone GNB,Celaena WHM,Livia AST,Arg DRG,Blyze NIN,Sonja BRD,Kat RDM
Arg DRK,Leone GNB,Celaena WHM,Livia AST,Blyze NIN,Prims SAM,Kat DNC,Sonja SMN
Prims DRK,Leone GNB,Celaena WHM,Blyze SCH,Lloyd DRG,Sonja NIN,Kat BRD,Arg SMN
Prims PLD,Livia DRK,Celaena WHM,Kat AST,Leone NIN,Blyze SAM,Sonja BRD,Arg SMN
Sonja WAR,Prims DRK,Blyze WHM,Celaena AST,Livia DRG,Leone NIN,Kat BRD,Arg SMN
Sonja WAR,Livia DRK,Celaena WHM,Kat AST,Blyze NIN,Prims SAM,Arg SMN,Leone RDM
Arg DRK,Leone GNB,Celaena WHM,Livia AST,Blyze MNK,Lloyd DRG,Sonja BLM,Kat RDM
Blyze PLD,Sonja GNB,Celaena WHM,Livia AST,Leone NIN,Prims SAM,Kat BRD,Arg SMN
Blyze PLD,Sonja DRK,Celaena WHM,Livia AST,Lloyd DRG,Leone NIN,Kat DNC,Arg SMN
Prims PLD,Livia DRK,Blyze WHM,Celaena AST,Lloyd DRG,Sonja NIN,Kat DNC,Arg SMN
Livia DRK,Leone GNB,Blyze SCH,Celaena AST,Arg DRG,Prims SAM,Sonja MCH,Kat DNC
Blyze PLD,Prims DRK,Celaena WHM,Livia AST,Lloyd DRG,Sonja SAM,Arg SMN,Leone RDM
Prims PLD,Leone GNB,Celaena WHM,Kat AST,Livia DRG,Blyze SAM,Sonja BLM,Arg SMN
Livia PLD,Leone GNB,Kat WHM,Celaena AST,Blyze MNK,Prims SAM,Sonja BRD,Arg SMN
Celaena PLD,Arg DRK,Blyze WHM,Livia AST,Lloyd DRG,Prims SAM,Kat DNC,Leone RDM
Celaena PLD,Prims DRK,Blyze WHM,Kat AST,Leone DRG,Sonja SAM,Livia DNC,Arg SMN
Celaena PLD,Arg DRK,Blyze SCH,Livia AST,Leone MNK,Prims SAM,Sonja BLM,Kat RDM
Prims DRK,Leone GNB,Blyze SCH,Celaena AST,Lloyd DRG,Sonja SAM,Kat DNC,Arg SMN
Prims PLD,Livia DRK,Celaena WHM,Blyze AST,Lloyd DRG,Leone NIN,Sonja SMN,Kat RDM
Sonja WAR,Leone GNB,Celaena WHM,Livia AST,Blyze DRG,Prims SAM,Arg SMN,Kat RDM
Arg DRK,Leone GNB,Celaena WHM,Blyze SCH,Lloyd DRG,Prims SAM,Kat DNC,Sonja RDM
Livia PLD,Sonja DRK,Kat WHM,Celaena AST,Blyze MNK,Lloyd DRG,Arg SMN,Leone RDM
Sonja PLD,Livia DRK,Celaena WHM,Blyze AST,Leone DRG,Prims SAM,Arg SMN,Kat RDM
Sonja WAR,Prims DRK,Celaena WHM,Blyze AST,Arg DRG,Leone NIN,Kat BRD,Livia DNC
Prims DRK,Leone GNB,Celaena WHM,Livia AST,Blyze MNK,Lloyd DRG,Sonja BRD,Kat DNC
Celaena PLD,Prims DRK,Blyze SCH,Kat AST,Lloyd DRG,Leone NIN,Livia DNC,Arg SMN
Prims DRK,Leone GNB,Celaena WHM,Livia AST,Lloyd DRG,Blyze NIN,Sonja BRD,Arg SMN
Livia DRK,Sonja GNB,Blyze WHM,Celaena AST,Lloyd DRG,Prims SAM,Kat BRD,Arg SMN
Sonja PLD,Prims DRK,Blyze SCH,Celaena AST,Leone DRG,Livia NIN,Arg SMN,Kat RDM
Livia PLD,Prims DRK,Celaena WHM,Kat AST,Blyze MNK,Lloyd DRG,Sonja BRD,Arg SMN
Blyze PLD,Prims DRK,Kat WHM,Celaena AST,Lloyd DRG,Sonja SAM,Livia DNC,Leone RDM
Prims PLD,Arg DRK,Celaena WHM,Kat AST,Blyze MNK,Livia DRG,Sonja MCH,Leone RDM
Prims PLD,Arg DRK,Celaena WHM,Livia AST,Leone MNK,Lloyd DRG,Sonja SMN,Kat RDM
Celaena PLD,Arg DRK,Blyze WHM,Kat AST,Lloyd DRG,Prims SAM,Sonja MCH,Livia DNC
Arg DRK,Leone GNB,Celaena WHM,Livia AST,Lloyd DRG,Prims SAM,Kat DNC,Sonja RDM
Livia PLD,Arg DRK,Celaena WHM,Blyze AST,Leone DRG,Prims SAM,Kat BRD,Sonja MCH
Livia PLD,Arg DRK,Blyze WHM,Celaena AST,Leone MNK,Lloyd DRG,Kat DNC,Sonja RDM
Sonja WAR,Prims DRK,Blyze WHM,Celaena AST,Leone MNK,Lloyd DRG,Kat BRD,Livia DNC
Prims PLD,Arg DRK,Blyze SCH,Celaena AST,Lloyd DRG,Sonja NIN,Livia DNC,Leone RDM
Prims PLD,Livia DRK,Celaena WHM,Blyze SCH,Lloyd DRG,Leone NIN,Kat BRD,Sonja MCH
Prims PLD,Livia DRK,Celaena WHM,Blyze AST,Arg DRG,Leone NIN,Kat DNC,Sonja RDM
Celaena PLD,Arg DRK,Blyze SCH,Livia AST,Leone MNK,Lloyd DRG,Sonja MCH,Kat DNC
Prims PLD,Livia DRK,Kat WHM,Celaena AST,Blyze MNK,Leone NIN,Sonja MCH,Arg SMN
Blyze PLD,Livia DRK,Kat WHM,Celaena AST,Leone MNK,Lloyd DRG,Sonja DNC,Arg SMN
Sonja PLD,Prims DRK,Blyze SCH,Celaena AST,Lloyd DRG,Livia NIN,Kat BRD,Leone RDM
Prims PLD,Arg DRK,Celaena WHM,Blyze AST,Lloyd DRG,Leone NIN,Sonja MCH,Kat RDM
Prims PLD,Arg DRK,Celaena WHM,Blyze SCH,Leone MNK,Livia DRG,Kat BRD,Sonja MCH
Prims PLD,Livia DRK,Celaena WHM,Blyze AST,Leone MNK,Lloyd DRG,Kat BRD,Sonja SMN
Prims PLD,Arg DRK,Celaena WHM,Livia AST,Leone MNK,Blyze DRG,Kat DNC,Sonja SMN
Arg DRK,Leone GNB,Celaena WHM,Kat AST,Blyze DRG,Prims SAM,Livia DNC,Sonja BLM
Prims PLD,Leone GNB,Celaena WHM,Livia AST,Lloyd DRG,Blyze NIN,Arg SMN,Kat RDM
Livia PLD,Prims DRK,Celaena WHM,Blyze AST,Sonja MNK,Lloyd DRG,Kat DNC,Arg SMN
Livia DRK,Leone GNB,Celaena WHM,Blyze AST,Lloyd DRG,Prims SAM,Sonja BLM,Arg SMN
Prims PLD,Arg DRK,Kat WHM,Celaena AST,Blyze MNK,Leone DRG,Sonja MCH,Livia DNC
Prims DRK,Leone GNB,Celaena WHM,Blyze AST,Lloyd DRG,Livia NIN,Sonja MCH,Arg SMN
Prims PLD,Sonja GNB,Kat WHM,Livia AST,Lloyd DRG,Blyze NIN,Arg SMN,Leone RDM
Sonja PLD,Arg DRK,Blyze SCH,Celaena AST,Leone MNK,Lloyd DRG,Kat BRD,Livia DNC
Livia PLD,Sonja GNB,Blyze SCH,Celaena AST,Leone DRG,Prims SAM,Arg SMN,Kat RDM
Celaena PLD,Sonja DRK,Blyze SCH,Livia AST,Arg DRG,Prims SAM,Kat BRD,Leone RDM
